Table,Field Name,Field Type,Sample Value
"GoldmineOutput","id","singleLineText","go_003"
"SystemHealth","id","singleLineText","sh_003"
"SystemHealth","component","singleLineText","database"
"SystemHealth","healthStatus","singleLineText","healthy"
"SystemHealth","responseTime","number","45"
"SystemHealth","errorRate","number",""
"SystemHealth","throughput","number","1200"
"SystemHealth","lastCheck","dateTime","2025-01-27T16:00:00.000Z"
"SystemHealth","createdAt","dateTime","2025-01-27T16:00:00.000Z"
"SystemHealth","alertTriggered","checkbox",""
"ErrorLogs","id","singleLineText","el_003"
"ErrorLogs","sessionId","singleLineText","sess_009"
"ErrorLogs","promptType","singleLineText","profile_makeover"
"ErrorLogs","errorType","singleLineText","timeout_error"
"ErrorLogs","errorMessage","singleLineText","AI service timeout after 30 seconds"
"ErrorLogs","stackTrace","singleLineText","TimeoutError at api/services/ai.ts:78"
"ErrorLogs","severity","singleLineText","high"
"ErrorLogs","timestamp","dateTime","2025-01-27T15:10:00.000Z"
"ErrorLogs","createdAt","dateTime","2025-01-27T15:10:00.000Z"
"ErrorLogs","resolved","checkbox",""
"ProcessingResults","id","singleLineText","pr_007"
"ProcessingResults","sessionId","singleLineText","sess_005"
"ProcessingResults","promptType","singleLineText","business_plan"
"ProcessingResults","processingStage","singleLineText","quality_check"
"ProcessingResults","status","singleLineText","pending"
"ProcessingResults","startTime","dateTime","2025-01-24T11:28:00.000Z"
"ProcessingResults","endTime","dateTime","2025-01-24T11:28:30.000Z"
"ProcessingResults","duration","number","30000"
"ProcessingResults","resultData","singleLineText","{""quality_score"": 0.87, ""trust_delta"": 0.3}"
"ProcessingResults","errorMessage","dateTime","2025-01-24T11:28:30.000Z"
"AirtableSync","id","singleLineText","as_007"
"AirtableSync","sourceTable","singleLineText","PerformanceMetrics"
"AirtableSync","recordId","singleLineText","pm_001"
"AirtableSync","syncStatus","singleLineText","pending"
"AirtableSync","lastSyncAttempt","dateTime","2025-01-27T10:16:45.000Z"
"AirtableSync","syncDuration","number","680"
"AirtableSync","retryCount","number",""
"AirtableSync","createdAt","dateTime","2025-01-27T10:16:30.000Z"
"AirtableSync","updatedAt","dateTime","2025-01-27T10:16:45.000Z"
"AirtableSync","errorMessage","singleLineText",""
"WebhookLogs","id","singleLineText","wl_003"
"WebhookLogs","sessionId","singleLineText","sess_003"
"WebhookLogs","promptType","singleLineText","profile_makeover"
"WebhookLogs","webhookType","singleLineText","airtable_sync"
"WebhookLogs","payload","singleLineText","{""table"": ""PromptLogs"", ""record_id"": ""pl_00"
"WebhookLogs","deliveryStatus","singleLineText","success"
"WebhookLogs","responseCode","number","201"
"WebhookLogs","responseTime","number","1200"
"WebhookLogs","retryCount","number",""
"WebhookLogs","timestamp","dateTime","2025-01-25T09:20:00.000Z"
"WebhookLogs","createdAt","dateTime","2025-01-25T09:20:00.000Z"
"WebhookLogs","errorMessage","singleLineText",""
